chr	start	stop
ASTN2	chr9	119187504	120177348
TLR4	chr9	120466610	120479149
CDK5RAP2	chr9	123151147	123342448
MEGF9	chr9	123363091	123476748
FBXW2	chr9	123514256	123555690
PSMD5-AS1	chr9	123587106	123616651
PHF19	chr9	123617977	123639606
CNTRL	chr9	123837141	123939888
RAB14	chr9	123940415	123985292
GSN	chr9	123970072	124095121
STOM	chr9	124101355	124132531
NDUFA8	chr9	124894745	124922098
RBM18	chr9	124999903	125027118
PTGS1	chr9	125132824	125157982
PDCL	chr9	125560668	125590910
RC3H2	chr9	125606835	125667620
RABGAP1	chr9	125703112	125867145
STRBP	chr9	125871779	126030855
DENND1A	chr9	126141933	126692431
NEK6	chr9	127019885	127115586
PSMB7	chr9	127115745	127177723
RPL35	chr9	127620159	127624260
ARPC5L	chr9	127624409	127640003
SCAI	chr9	127704887	127905785
PPP6C	chr9	127908852	127952218
RABEPK	chr9	127962821	127996437
HSPA5	chr9	127997132	128003609
GAPVD1	chr9	128024073	128129486
MAPKAP1	chr9	128199672	128469513
PBX3	chr9	128509624	128729656
MVB12B	chr9	129089128	129269320
ZBTB43	chr9	129567285	129600489
RALGPS1	chr9	129677053	129985445
ANGPTL2	chr9	129849611	129885162
SLC2A8	chr9	130159421	130170703
RPL12	chr9	130209953	130213684
STXBP1	chr9	130374544	130457460
PTRH1	chr9	130455257	130487152
CDK9	chr9	130547958	130553066
FPGS	chr9	130556876	130576606
ENG	chr9	130577291	130617035
AK1	chr9	130628759	130640022
ST6GALNAC6	chr9	130647600	130667687
DPM2	chr9	130697378	130700763
FAM102A	chr9	130702858	130742792
PTGES2	chr9	130882972	130890741
C9orf16	chr9	130922539	130926207
CIZ1	chr9	130928343	130966662
GOLGA2	chr9	131018108	131038274
SWI5	chr9	131037658	131051269
TRUB2	chr9	131071382	131085021
COQ4	chr9	131084815	131096351
URM1	chr9	131133598	131153015
CERCAM	chr9	131174030	131199626
ODF2	chr9	131217465	131263571
SPTAN1	chr9	131314866	131395941
WDR34	chr9	131395940	131419066
SET	chr9	131445703	131458679
ZDHHC12	chr9	131483148	131486406
ENDOG	chr9	131580753	131584956
LRRC8A	chr9	131644391	131680318
SH3GLB2	chr9	131769315	131790582
CRAT	chr9	131857089	131873468
PPP2R4	chr9	131873229	131911225
IER5L	chr9	131937835	131940540
NTMT1	chr9	132371163	132398209
TOR1A	chr9	132575223	132586413
C9orf78	chr9	132589569	132598142
FNBP1	chr9	132649466	132805473
GPR107	chr9	132815705	132902448
FUBP3	chr9	133454352	133513739
ABL1	chr9	133589333	133763062
AIF1L	chr9	133971863	133998539
NUP214	chr9	134000948	134110057
PRRC2B	chr9	134269480	134375584
POMT1	chr9	134378289	134399193
UCK1	chr9	134399188	134406655
RAPGEF1	chr9	134452157	134615461
MED27	chr9	134735494	134955295
SETX	chr9	135136743	135230372
TTF1	chr9	135251008	135282209
TSC1	chr9	135766735	135820020
GTF3C5	chr9	135906076	135933890
RALGDS	chr9	135973107	136039301
SURF6	chr9	136197552	136203235
RPL7A	chr9	136215069	136218281
SURF1	chr9	136218610	136223552
SURF2	chr9	136223428	136228045
SURF4	chr9	136228325	136242970
REXO4	chr9	136271186	136283164
BRD3	chr9	136895427	136933657
RXRA	chr9	137208944	137332431
OLFM1	chr9	137967268	138013025
MRPS2	chr9	138391830	138396519
CAMSAP1	chr9	138700333	138799074
UBAC1	chr9	138824815	138853226
NACC2	chr9	138898383	138987131
CARD9	chr9	139256355	139268133
PMPCA	chr9	139305110	139318213
SEC16A	chr9	139334549	139372141
NOTCH1	chr9	139388896	139440314
AGPAT2	chr9	139567595	139581875
SNHG7	chr9	139615818	139622636
TMEM141	chr9	139685807	139687709
RABL6	chr9	139702374	139735639
PHPT1	chr9	139743176	139745488
EDF1	chr9	139756571	139760738
FBXW5	chr9	139834887	139839148
PTGDS	chr9	139871956	139879887
C9orf142	chr9	139886870	139888436
ABCA2	chr9	139901686	139923367
NPDC1	chr9	139933922	139940655
SAPCD2	chr9	139956581	139965040
MAN1B1	chr9	139981379	140003635
DPP7	chr9	140004994	140009629
SSNA1	chr9	140083099	140084822
TMEM203	chr9	140098534	140100090
TUBB4B	chr9	140135665	140138159
NELFB	chr9	140149625	140167998
NRARP	chr9	140194083	140196703
NSMF	chr9	140342022	140353786
MRPL41	chr9	140445651	140447007
DPH7	chr9	140449356	140473387
ARRDC1	chr9	140500106	140509812
EHMT1	chr9	140513444	140764468
ZMYND11	chr10	180405	300577
DIP2C	chr10	320130	735683
LARP4B	chr10	855484	977564
GTPBP4	chr10	1034338	1065876
IDI1	chr10	1085848	1095110
PFKP	chr10	3108525	3179904
PITRM1	chr10	3179920	3215003
KLF6	chr10	3818188	3827473
FAM208B	chr10	5726801	5805703
GDI2	chr10	5807186	5884095
RBM17	chr10	6130950	6159420
PFKFB3	chr10	6186881	6277495
SFMBT2	chr10	7200586	7453450
KIN	chr10	7792925	7829990
ATP5C1	chr10	7830092	7849778
TAF3	chr10	7860467	8058590
CELF2	chr10	11047259	11378674
USP6NL	chr10	11495945	11653753
UPF2	chr10	11962021	12085169
DHTKD1	chr10	12110971	12165224
NUDT5	chr10	12207324	12238143
CDC123	chr10	12237964	12292588
CAMK1D	chr10	12391481	12877545
OPTN	chr10	13141449	13180291
PHYH	chr10	13319796	13344412
SEPHS1	chr10	13359424	13390297
PRPF18	chr10	13628927	13672868
FRMD4A	chr10	13685706	14504141
FAM107B	chr10	14560556	14816896
HSPA14	chr10	14880163	14913740
DCLRE1C	chr10	14939358	14996431
RPP38	chr10	15139179	15181817
FAM171A1	chr10	15253642	15413061
RSU1	chr10	16632610	16859527
VIM	chr10	17270258	17279592
STAM	chr10	17686124	17757913
NSUN6	chr10	18834490	18940551
ARL5B	chr10	18948334	18970568
PLXDC2	chr10	20105168	20578785
NEBL	chr10	21068902	21463116
MLLT10	chr10	21823094	22032559
DNAJC1	chr10	22045466	22292698
COMMD3	chr10	22604903	22609235
BMI1	chr10	22610140	22620413
PIP4K2A	chr10	22823778	23003484
MSRB2	chr10	23384435	23410942
OTUD1	chr10	23728198	23731308
ARHGAP21	chr10	24872538	25012597
PRTFDC1	chr10	25137536	25241533
GPR158	chr10	25463991	25891155
APBB1IP	chr10	26727132	26856732
ABI1	chr10	27035522	27150016
ANKRD26	chr10	27280843	27389421
YME1L1	chr10	27399383	27444195
ACBD5	chr10	27484146	27531059
RAB18	chr10	27793197	27831143
WAC-AS1	chr10	28811581	28821672
WAC	chr10	28821422	28912041
BAMBI	chr10	28966271	28971868
MAP3K8	chr10	30722866	30750762
ZEB1	chr10	31607424	31818742
ARHGAP12	chr10	32094365	32217742
KIF5B	chr10	32297938	32345359
EPC1	chr10	32556679	32667726
ITGB1	chr10	33189247	33294720
NRP1	chr10	33466420	33625190
PARD3	chr10	34398488	35104253
CUL2	chr10	35297479	35379570
CREM	chr10	35415719	35501886
CCNY	chr10	35535953	35860852
ZNF33A	chr10	38299578	38354016
ZNF37A	chr10	38383264	38414472
BMS1	chr10	43278249	43330385
CSGALNACT2	chr10	43633934	43680756
HNRNPF	chr10	43881065	43904614
ZNF32	chr10	44139307	44144304
RASSF4	chr10	45454855	45491339
ZNF22	chr10	45495923	45500774
ALOX5	chr10	45869661	45941561
MAPK8	chr10	49514698	49647403
ARHGAP22	chr10	49654077	49864310
NCOA4	chr10	51565108	51590734
TIMM23	chr10	51592080	51623365
SGMS1	chr10	52065360	52384923
CSTF2T	chr10	53455247	53459355
PCDH15	chr10	55562531	57387702
IPMK	chr10	59951278	60027694
CISD1	chr10	60028818	60049346
UBE2D1	chr10	60094735	60130513
TFAM	chr10	60144782	60158981
LINC00844	chr10	60759386	60761303
PHYHIPL	chr10	60936350	61007534
FAM13C	chr10	61005890	61122939
CCDC6	chr10	61548521	61666414
ANK3	chr10	61786056	62493248
CDK1	chr10	62538089	62554610
ARID5B	chr10	63661059	63856703
ADO	chr10	64564516	64568238
EGR2	chr10	64571756	64679660
NRBF2	chr10	64893050	64914783
JMJD1C	chr10	64926981	65225722
REEP3	chr10	65281123	65384883
LRRTM3	chr10	68685764	68859588
SIRT1	chr10	69644427	69678147
HERC4	chr10	69681665	69835105
HNRNPH3	chr10	70090931	70102948
RUFY2	chr10	70100864	70167051
CCAR1	chr10	70480769	70552134
DDX50	chr10	70661034	70706603
DDX21	chr10	70715884	70744829
SRGN	chr10	70847862	70864567
VPS26A	chr10	70883268	70932617
HK1	chr10	71029740	71161638
TSPAN15	chr10	71211229	71267425
H2AFY2	chr10	71812552	71872036
SAR1A	chr10	71907045	71930279
PPA1	chr10	71962586	71993667
EIF4EBP2	chr10	72164135	72188374
PALD1	chr10	72238577	72328205
SGPL1	chr10	72575717	72640930
PCBD1	chr10	72642037	72648541
UNC5B	chr10	72972327	73062621
C10orf54	chr10	73507316	73533255
PSAP	chr10	73576055	73611126
CHST3	chr10	73724123	73773322
SPOCK2	chr10	73818793	73848790
ASCC1	chr10	73856278	73976892
ANAPC16	chr10	73975787	73995618
DDIT4	chr10	74033678	74035794
DNAJB12	chr10	74092588	74114988
MICU1	chr10	74127098	74385899
P4HA1	chr10	74766975	74856732
ECD	chr10	74889913	74928813
DNAJC9	chr10	74943120	75008620
MRPS16	chr10	75006510	75012451
ANXA7	chr10	75134859	75173834
PPP3CB	chr10	75196186	75255782
USP54	chr10	75257296	75385711
CHCHD1	chr10	75541805	75543410
ZSWIM8	chr10	75545340	75561551
CAMK2G	chr10	75572259	75634343
PLAU	chr10	75668935	75677255
VCL	chr10	75757872	75879918
AP3M1	chr10	75881524	75910821
ADK	chr10	75910960	76469061
KAT6B	chr10	76585340	76792380
SAMD8	chr10	76859344	76941881
VDAC2	chr10	76969912	76991206
ZNF503	chr10	77157588	77161664
C10orf11	chr10	77360998	78319925
KCNMA1	chr10	78629359	79398353
DLG5	chr10	79550549	79686378
RPS24	chr10	79793518	79816570
ZMIZ1	chr10	80828792	81076276
PPIF	chr10	81107225	81115093
ZCCHC24	chr10	81142081	81205383
ANXA11	chr10	81910645	81965328
FAM213A	chr10	82167585	82192753
TSPAN14	chr10	82213922	82292879
NRG3	chr10	83635070	84746935
GHITM	chr10	85899196	85913001
CCSER2	chr10	86088342	86278273
WAPAL	chr10	88195013	88281572
BMPR1A	chr10	88516407	88692595
ADIRF	chr10	88727949	88743691
GLUD1	chr10	88810243	88854623
NUTM2A-AS1	chr10	88963632	89102369
ATAD1	chr10	89511269	89601100
PTEN	chr10	89622870	89731687
ANKRD22	chr10	90581889	90611575
ACTA2	chr10	90694831	90751147
FAS	chr10	90750414	90775542
CH25H	chr10	90965694	90967071
LIPA	chr10	90973326	91174314
IFIT2	chr10	91061712	91069033
IFIT3	chr10	91087651	91100728
IFIT1	chr10	91152303	91163745
IFIT5	chr10	91174343	91180758
KIF20B	chr10	91461367	91534700
RPP30	chr10	92631473	92668312
PCGF5	chr10	92979908	93044088
HECTD2	chr10	93170096	93274586
TNKS2	chr10	93558069	93625033
FGFBP3	chr10	93666346	93669240
BTAF1	chr10	93683526	93790082
MARCH5	chr10	94050920	94113721
HHEX	chr10	94447945	94455403
EXOC6	chr10	94590935	94819250
MYOF	chr10	95066186	95242074
FRA10AC1	chr10	95427640	95462329
PLCE1	chr10	95753746	96092580
NOC3L	chr10	96075004	96122716
TBC1D12	chr10	96162261	96295687
SORBS1	chr10	97071528	97321171
TCTN3	chr10	97423158	97453900
ENTPD1	chr10	97471536	97637023
ENTPD1-AS1	chr10	97512963	97849995
BLNK	chr10	97951458	98031344
TM9SF3	chr10	98277866	98347209
PIK3AP1	chr10	98353069	98480271
LCOR	chr10	98592017	98740800
RRP12	chr10	99116115	99161127
PGAM1	chr10	99185917	99193198
EXOSC1	chr10	99195899	99205774
HPS1	chr10	100175955	100206684
GOT1	chr10	101156627	101190381
SLC25A28	chr10	101370282	101380366
CUTC	chr10	101462315	101515891
BLOC1S2	chr10	102033713	102046469
SCD	chr10	102106881	102124591
NDUFB8	chr10	102265385	102289638
MRPL43	chr10	102729215	102747272
BTRC	chr10	103113820	103317078
DPCD	chr10	103330317	103369425
NPM3	chr10	103541082	103543170
MGEA5	chr10	103544200	103578696
NOLC1	chr10	103911933	103923627
GBF1	chr10	104005289	104142656
NFKB2	chr10	104153867	104162281
FBXL15	chr10	104178946	104182893
CUEDC2	chr10	104183002	104192418
ACTR1A	chr10	104238986	104262482
TRIM8	chr10	104404253	104418164
ARL3	chr10	104433488	104474164
WBP1L	chr10	104503727	104576021
C10orf32	chr10	104613980	104624718
NT5C2	chr10	104845940	104953056
USMG5	chr10	105148798	105156223
SLK	chr10	105726959	105788991
GSTO1	chr10	105995114	106027217
ITPRIP	chr10	106071894	106098162
XPNPEP1	chr10	111624524	111683311
ADD3	chr10	111756126	111895323
MXI1	chr10	111967363	112047123
SMNDC1	chr10	112050488	112064709
DUSP5	chr10	112257596	112271302
SMC3	chr10	112327449	112364394
PDCD4	chr10	112631565	112659764
BBIP1	chr10	112658488	112679032
SHOC2	chr10	112679301	112773425
ZDHHC6	chr10	114190058	114206672
VTI1A	chr10	114206756	114578503
TCF7L2	chr10	114710009	114927437
NHLRC2	chr10	115614420	115676953
AFAP1L2	chr10	116054583	116164515
ABLIM1	chr10	116190872	116444762
ATRNL1	chr10	116853124	117708503
GFRA1	chr10	117816444	118032979
KIAA1598	chr10	118643742	118886097
PDZD8	chr10	119040000	119134978
RAB11FIP2	chr10	119764427	119806114
FAM204A	chr10	120065401	120101840
CACUL1	chr10	120433679	120514761
EIF3A	chr10	120794356	120840316
FAM45A	chr10	120863598	120897496
SFXN4	chr10	120900279	120925179
PRDX3	chr10	120927215	120938345
GRK5	chr10	120967101	121215131
RGS10	chr10	121259340	121302220
TIAL1	chr10	121334199	121356541
BAG3	chr10	121410882	121437331
INPP5F	chr10	121485609	121588652
MCMBP	chr10	121588972	121652068
SEC23IP	chr10	121652223	121702014
WDR11	chr10	122610687	122669036
ATE1	chr10	123499939	123688316
NSMCE4A	chr10	123716603	123734732
PLEKHA1	chr10	124134212	124191867
HTRA1	chr10	124221041	124274424
BUB3	chr10	124913793	124924886
CHST15	chr10	125767184	125853206
OAT	chr10	126085872	126107545
LHPP	chr10	126150403	126306457
FAM53B	chr10	126307861	126432838
ZRANB1	chr10	126630692	126676758
CTBP2	chr10	126676421	126849739
UROS	chr10	127477146	127511817
BCCIP	chr10	127512115	127542264
DHX32	chr10	127524906	127585005
DOCK1	chr10	128593978	129250781
PTPRE	chr10	129705325	129884119
MKI67	chr10	129894923	129924649
MGMT	chr10	131265448	131566271
GLRX3	chr10	131934663	131982785
PPP2R2D	chr10	133747955	133773331
BNIP3	chr10	133781578	133795435
TUBGCP2	chr10	135093135	135125841
ZNF511	chr10	135121979	135166033
FUOM	chr10	135168658	135171529
ECHS1	chr10	135175984	135187193
BET1L	chr11	167784	207428
RIC8A	chr11	207511	215113
PSMD13	chr11	236546	252983
IFITM2	chr11	307631	315272
IFITM1	chr11	313506	315272
IFITM3	chr11	319669	327537
SIGIRR	chr11	405716	417455
RNH1	chr11	494512	507300
HRAS	chr11	532242	537287
PHRF1	chr11	576486	612222
IRF7	chr11	612553	615999
DEAF1	chr11	644233	706715
TALDO1	chr11	747329	765024
CEND1	chr11	787104	790123
RPLP2	chr11	809647	812880
PNPLA2	chr11	818902	825573
CD151	chr11	832843	839831
POLR2L	chr11	837356	842545
CHID1	chr11	867357	915058
AP2A2	chr11	924894	1012239
TOLLIP	chr11	1295601	1330884
MOB2	chr11	1490687	1522477
IFITM10	chr11	1753640	1771821
CTSD	chr11	1773982	1785222
LSP1	chr11	1874200	1913497
MRPL23	chr11	1968508	2005752
IGF2	chr11	2150342	2170833
CD81	chr11	2397407	2418649
TSSC4	chr11	2421718	2425106
KCNQ1OT1	chr11	2629558	2721224
CDKN1C	chr11	2904443	2907111
NAP1L4	chr11	2965667	3013607
CARS	chr11	3022152	3078843
ZNF195	chr11	3360491	3400448
NUP98	chr11	3692313	3819022
RHOG	chr11	3848208	3862213
RRM1	chr11	4115937	4160106
TRIM22	chr11	5710919	5758319
SMPD1	chr11	6411655	6416228
APBB1	chr11	6416355	6440644
ARFIP2	chr11	6496910	6502666
RRP8	chr11	6616305	6624850
ILK	chr11	6624961	6632102
TAF10	chr11	6627526	6633898
TPP1	chr11	6634000	6640692
MRPL17	chr11	6702013	6704632
EIF3F	chr11	7991798	8023409
RIC3	chr11	8127597	8190602
STK33	chr11	8413418	8615836
RPL27A	chr11	8703958	8736306
ST5	chr11	8714898	8932498
AKIP1	chr11	8932686	8941631
TMEM9B	chr11	8968841	8986558
DENND5A	chr11	9160372	9286937
TMEM41B	chr11	9302201	9336327
IPO7	chr11	9406169	9469673
ZNF143	chr11	9481866	9550071
WEE1	chr11	9595228	9615004
SWAP70	chr11	9685624	9774538
SBF2	chr11	9800214	10315754
ADM	chr11	10326227	10328944
MTRNR2L8	chr11	10529434	10530723
RNF141	chr11	10533225	10562777
CTR9	chr11	10772534	10801290
EIF4G2	chr11	10818597	10830657
ZBED5	chr11	10833621	10880343
USP47	chr11	11862970	11980870
DKK3	chr11	11984653	12031316
TEAD1	chr11	12695969	12966298
BTBD10	chr11	13409548	13484844
FAR1	chr11	13690217	13753893
COPB1	chr11	14464986	14521573
PSMA1	chr11	14515329	14541890
PDE3B	chr11	14665269	14892350
SOX6	chr11	15987995	16761138
C11orf58	chr11	16634679	16778428
RPS13	chr11	17095936	17099334
PIK3C2A	chr11	17099277	17229530
NUCB2	chr11	17229700	17371521
SERGEF	chr11	17809595	18034709
HPS5	chr11	18300223	18343745
GTF2H1	chr11	18343842	18388591
LDHA	chr11	18415935	18429972
TSG101	chr11	18489883	18548779
SPTY2D1	chr11	18627948	18656338
NAV2	chr11	19372271	20143144
HTATIP2	chr11	20385231	20405329
PRMT3	chr11	20409076	20530840
SVIP	chr11	22835345	22851845
LUZP2	chr11	24518516	25104150
FIBIN	chr11	27015628	27018630
CCDC34	chr11	27352374	27385415
LIN7C	chr11	27516123	27528320
METTL15	chr11	28129795	28355054
ARL14EP	chr11	30344598	30359774
MPPED2	chr11	30406040	30608419
DNAJC24	chr11	31391387	31453396
IMMP1L	chr11	31453948	31531192
ELP4	chr11	31531297	31805546
PAX6	chr11	31806340	31839509
RCN1	chr11	31833939	32127301
EIF3M	chr11	32605344	32627808
QSER1	chr11	32914724	33014862
CSTF3	chr11	33098734	33183917
HIPK3	chr11	33278218	33378569
CD59	chr11	33719807	33757991
FBXO3	chr11	33762485	33796089
LMO2	chr11	33880122	33913836
CAPRIN1	chr11	34073230	34122703
CAT	chr11	34460472	34493609
APIP	chr11	34874641	34938046
CD44	chr11	35160417	35253949
SLC1A2	chr11	35272753	35441610
FJX1	chr11	35639735	35642419
TRIM44	chr11	35684353	35829775
LDLRAD3	chr11	35965531	36253686
COMMD9	chr11	36295051	36310999
C11orf74	chr11	36616051	36694823
LRRC4C	chr11	40135753	41481323
API5	chr11	43333513	43366079
TTC17	chr11	43380482	43516483
HSD17B12	chr11	43577986	43878167
ALKBH3	chr11	43902361	43941816
C11orf96	chr11	43946892	43965888
EXT2	chr11	44117099	44266979
CD82	chr11	44585977	44641913
MAPK8IP1	chr11	45907202	45928016
PEX16	chr11	45931220	45940363
PHF21A	chr11	45950871	46142985
DGKZ	chr11	46354455	46402104
MDK	chr11	46402306	46405375
AMBRA1	chr11	46417964	46615675
ATG13	chr11	46638826	46696368
ARHGAP1	chr11	46698630	46722165
CKAP5	chr11	46764598	46867847
LRP4	chr11	46878419	46940193
C11orf49	chr11	46958240	47185936
ARFGAP2	chr11	47185848	47198676
ACP2	chr11	47260853	47270457
SPI1	chr11	47376411	47400127
PSMC3	chr11	47440320	47447993
CELF1	chr11	47487496	47587121
NDUFS3	chr11	47586888	47606114
PTPMT1	chr11	47586982	47595013
MTCH2	chr11	47638867	47664175
FNBP4	chr11	47738072	47788995
NUP160	chr11	47799639	47870107
PTPRJ	chr11	48002113	48189670
APLNR	chr11	57001051	57004709
SSRP1	chr11	57093459	57103351
SLC43A3	chr11	57174427	57195053
TIMM10	chr11	57295936	57298276
UBE2L6	chr11	57319129	57335757
SERPING1	chr11	57364860	57382326
MED19	chr11	57471186	57479693
TMX2	chr11	57480072	57508445
C11orf31	chr11	57508825	57510986
CTNND1	chr11	57520715	57587018
LPXN	chr11	58294344	58345693
ZFP91	chr11	58346584	58388515
FAM111A	chr11	58910221	58922512
OSBP	chr11	59341871	59383617
PATL1	chr11	59404189	59436453
STX3	chr11	59480929	59573354
MRPL16	chr11	59573608	59578345
MS4A6A	chr11	59939081	59952139
MS4A4E	chr11	59968726	60010561
MS4A4A	chr11	60048014	60076445
MS4A7	chr11	60145955	60163424
PRPF19	chr11	60658202	60674060
TMEM109	chr11	60681346	60690915
TMEM132A	chr11	60691935	60704631
SLC15A3	chr11	60704556	60720002
DDB1	chr11	61066923	61110068
CYB561A3	chr11	61116217	61129771
TMEM138	chr11	61129473	61136981
CPSF7	chr11	61170121	61197503
SDHAF2	chr11	61197514	61215001
TMEM258	chr11	61535973	61560274
FADS2	chr11	61560452	61634826
FADS1	chr11	61567099	61596790
FADS3	chr11	61640991	61659523
BEST1	chr11	61717293	61732987
FTH1	chr11	61727190	61735132
ASRGL1	chr11	62104920	62160882
AHNAK	chr11	62201016	62323707
EEF1G	chr11	62327073	62342401
ROM1	chr11	62379194	62382592
B3GAT3	chr11	62382768	62389647
GANAB	chr11	62392298	62414104
C11orf48	chr11	62430287	62439727
UBXN1	chr11	62443970	62446567
HNRNPUL2	chr11	62480102	62494821
POLR2G	chr11	62529016	62534182
TMEM223	chr11	62539101	62559493
TMEM179B	chr11	62554887	62557877
NXF1	chr11	62559595	62573774
STX5	chr11	62574369	62599560
WDR74	chr11	62599814	62609281
SLC3A2	chr11	62623518	62656352
RARRES3	chr11	63304281	63313934
PLA2G16	chr11	63340667	63384355
ATL3	chr11	63391559	63439393
RTN3	chr11	63448918	63527363
MARK2	chr11	63606400	63678491
COX8A	chr11	63742079	63744015
OTUB1	chr11	63753325	63769283
STIP1	chr11	63952744	63972015
FERMT3	chr11	63974150	63991354
TRPT1	chr11	63991271	63993726
NUDT22	chr11	63993413	63998158
DNAJC4	chr11	63997750	64001758
VEGFB	chr11	64002010	64006259
FKBP2	chr11	64008475	64011604
PPP1R14B	chr11	64011956	64014413
BAD	chr11	64037302	64052176
GPR137	chr11	64037534	64056972
ESRRA	chr11	64073044	64084215
TRMT112	chr11	64083932	64085556
PRDX5	chr11	64085560	64089283
RPS6KA4	chr11	64126620	64139687
NRXN2	chr11	64373646	64490660
SF1	chr11	64532078	64546258
EHD1	chr11	64619114	64655768
ARL2	chr11	64781585	64789656
SAC3D1	chr11	64808373	64812300
ZFPL1	chr11	64851695	64855870
VPS51	chr11	64856796	64879332
TM7SF2	chr11	64879317	64883856
FAU	chr11	64888100	64889945
SYVN1	chr11	64889252	64902004
CAPN1	chr11	64948037	64979477
DPF2	chr11	65101225	65120720
NEAT1	chr11	65190245	65213011
AP000769.1	chr11	65222728	65234028
MALAT1	chr11	65265233	65273940
SCYL1	chr11	65292548	65306175
LTBP3	chr11	65306276	65326401
SSSCA1	chr11	65337901	65341413
FAM89B	chr11	65339820	65341669
EHBP1L1	chr11	65343509	65360121
MAP3K11	chr11	65365226	65382853
SIPA1	chr11	65405568	65418401
RELA	chr11	65421067	65430565
KAT5	chr11	65479467	65487075
RNASEH2C	chr11	65482367	65488418
CFL1	chr11	65590493	65629497
MUS81	chr11	65624597	65635124
EFEMP2	chr11	65633912	65641063
FIBP	chr11	65651212	65656010
CCDC85B	chr11	65657875	65659105
C11orf68	chr11	65684279	65686588
DRAP1	chr11	65686728	65689032
SART1	chr11	65729160	65747299
BANF1	chr11	65769550	65771620
SF3B2	chr11	65818200	65836779
PACS1	chr11	65837834	66012218
RAB1B	chr11	66036004	66044963
YIF1A	chr11	66052051	66056641
BRMS1	chr11	66104804	66112596
B3GNT1	chr11	66112843	66115163
MRPL11	chr11	66202546	66234209
ZDHHC24	chr11	66288108	66313709
CTSF	chr11	66330934	66336312
CCS	chr11	66360292	66373490
RBM14	chr11	66384053	66394818
RBM4	chr11	66384097	66434153
RBM4B	chr11	66432469	66445392
KDM2A	chr11	66886740	67025558
ADRBK1	chr11	67033881	67054027
ANKRD13D	chr11	67056018	67069956
POLD4	chr11	67118248	67124443
PPP1CA	chr11	67165654	67188654
TBC1D10C	chr11	67171386	67177560
RPS6KB2	chr11	67195931	67202872
PTPRCAP	chr11	67202981	67205538
CORO1B	chr11	67205519	67211292
TMEM134	chr11	67231824	67236743
AIP	chr11	67250512	67258574
CDK2AP2	chr11	67273968	67276120
GSTP1	chr11	67351066	67354131
NDUFV1	chr11	67374323	67380006
UNC93B1	chr11	67758575	67772452
NDUFS8	chr11	67798084	67804111
TCIRG1	chr11	67806483	67818362
CHKA	chr11	67820326	67888911
SUV420H1	chr11	67922330	67981295
C11orf24	chr11	68028803	68039469
PPP6R3	chr11	68228186	68382802
CPT1A	chr11	68522088	68611878
MRPL21	chr11	68658744	68671303
CCND1	chr11	69455855	69469242
PPFIA1	chr11	70116806	70230509
CTTN	chr11	70244510	70282690
DHCR7	chr11	71139239	71163914
NUMA1	chr11	71713910	71791739
LAMTOR1	chr11	71796941	71814433
ANAPC15	chr11	71817424	71823826
FOLR2	chr11	71927645	71932994
INPPL1	chr11	71934745	71950149
ARAP1	chr11	72396114	72504644
ATG16L2	chr11	72525353	72554719
FCHSD2	chr11	72547790	72853306
RELT	chr11	73087309	73108519
FAM168A	chr11	73111532	73309234
PLEKHB1	chr11	73357223	73373864
RAB6A	chr11	73386683	73472182
MRPL48	chr11	73498361	73576178
COA4	chr11	73583712	73588033
PAAF1	chr11	73587744	73638790
UCP2	chr11	73685712	73694352
PPME1	chr11	73882144	73965748
PGM2L1	chr11	74041363	74109518
POLD3	chr11	74204896	74380162
RNF169	chr11	74459913	74553458
XRRA1	chr11	74518784	74660245
SPCS2	chr11	74660292	74690076
SLCO2B1	chr11	74811608	74917594
RPS3	chr11	75110530	75133324
SERPINH1	chr11	75273101	75283828
MAP6	chr11	75297963	75380165
UVRAG	chr11	75526212	75854239
PRKRIR	chr11	76061000	76092015
ACER3	chr11	76571911	76737841
PAK1	chr11	77032752	77185680
CLNS1A	chr11	77225981	77348850
RSF1	chr11	77371041	77532063
AAMDC	chr11	77532155	77629478
INTS4	chr11	77589766	77705724
NDUFC2	chr11	77779350	77791265
ALG8	chr11	77811982	77850706
GAB2	chr11	77926343	78129394
TENM4	chr11	78363876	79151992
RP11-179A16.1	chr11	81590893	82429124
FAM181B	chr11	82443053	82444906
PRCP	chr11	82534544	82681626
RAB30-AS1	chr11	82783108	82817761
PCF11	chr11	82868030	82898493
CCDC90B	chr11	82970139	82997450
DLG2	chr11	83166055	85338966
TMEM126B	chr11	85339629	85347580
TMEM126A	chr11	85359011	85367591
CREBZF	chr11	85370752	85393951
SYTL2	chr11	85405267	85522184
PICALM	chr11	85668727	85780924
EED	chr11	85955586	85989855
C11orf73	chr11	86013253	86056969
PRSS23	chr11	86502101	86663952
CTSC	chr11	88026760	88070955
GRM5	chr11	88237744	88799113
CHORDC1	chr11	89934328	89956532
FAT3	chr11	92085262	92629618
SLC36A4	chr11	92877341	92931130
SMCO4	chr11	93211638	93276674
TAF1D	chr11	93463114	93517557
C11orf54	chr11	93474757	93497915
MED17	chr11	93517393	93547861
ANKRD49	chr11	94226795	94232749
CWC15	chr11	94695787	94706776
SRSF8	chr11	94800361	94802388
ENDOD1	chr11	94822974	94865809
SESN3	chr11	94898704	94965705
FAM76B	chr11	95502106	95523573
CEP57	chr11	95523129	95565857
MTMR2	chr11	95566046	95658479
MAML2	chr11	95709762	96076344
CCDC82	chr11	96085933	96123087
